"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",31.12
1,"ABIM",31.12
2,"ADJUMANI",100
3,"AGAGO",71.5
4,"AGAGO",71.5
5,"ALEBTONG",36.47
6,"ALEBTONG",36.47
7,"AMOLATAR",42.76
8,"AMOLATAR",42.76
9,"AMUDAT",86
10,"AMUDAT",86
11,"AMURU",80.93
12,"APAC",53.64
13,"APAC",53.64
14,"ARUA",79.45
15,"ARUA",79.45
16,"BUDUDA",62.01
17,"BUDUDA",62.01
18,"BUGIRI",62.11
19,"BUGIRI",62.11
20,"BUGWERI",100
21,"BUHWEJU",42.13
22,"BUHWEJU",42.13
23,"BUIKWE",62.18
24,"BUIKWE",62.18
25,"BUKEDEA",72.1
26,"BUKEDEA",72.1
27,"BUKOMANSIMBI",54.63
28,"BUKOMANSIMBI",54.63
29,"BULAMBULI",45.41
30,"BULAMBULI",45.41
31,"BUNYANGABU",67.9
32,"BUNYANGABU",67.9
33,"BUSHENYI",79.69
34,"BUSHENYI",79.69
35,"BUSIA",78.09
36,"BUSIA",78.09
37,"BUTALEJA",66.78
38,"BUTALEJA",66.78
39,"BUTAMBALA",49.45
40,"BUTAMBALA",49.45
41,"BUTEBO",92.72
42,"BUVUMA",79.54
43,"BUVUMA",79.54
44,"BUYENDE",84.37
45,"BUYENDE",84.37
46,"DOKOLO",42.3
47,"DOKOLO",42.3
48,"GULU",57.55
49,"GULU",57.55
50,"HOIMA",67.5
51,"HOIMA",67.5
52,"IBANDA",58.27
53,"IBANDA",58.27
54,"IGANGA",48.44
55,"IGANGA",48.44
56,"ISINGIRO",77.15
57,"ISINGIRO",77.15
58,"JINJA",56.52
59,"JINJA",56.52
60,"KAABONG",33.87
61,"KAABONG",33.87
62,"KABALE",20.93
63,"KABALE",20.93
64,"KABAROLE",85.03
65,"KABAROLE",85.03
66,"KAGADI",86.14
67,"KAGADI",86.14
68,"KAKUMIRO",76.74
69,"KAKUMIRO",76.74
70,"KALANGALA",100
71,"KALIRO",87.1
72,"KALIRO",87.1
73,"KALUNGU",62.58
74,"KALUNGU",62.58
75,"KAMPALA",79.63
76,"KAMPALA",79.63
77,"KAMULI",35.47
78,"KAMULI",35.47
79,"KAMWENGE",72.74
80,"KAMWENGE",72.74
81,"KANUNGU",49.9
82,"KANUNGU",49.9
83,"KAPCHORWA",100
84,"KAPELEBYONG",52.13
85,"KAPELEBYONG",52.13
86,"KASESE",92.2
87,"KASESE",92.2
88,"KASSANDA",59.38
89,"KASSANDA",59.38
90,"KATAKWI",48.16
91,"KATAKWI",48.16
92,"KAYUNGA",79.28
93,"KAYUNGA",79.28
94,"KIBAALE",100
95,"KIBOGA",71.17
96,"KIBOGA",71.17
97,"KIBUKU",100
98,"KIKUUBE",64.71
99,"KIKUUBE",64.71
100,"KIRUHURA",37.65
101,"KIRUHURA",37.65
102,"KIRYANDONGO",53.97
103,"KIRYANDONGO",53.97
104,"KISORO",28.28
105,"KISORO",28.28
106,"KITGUM",35.94
107,"KITGUM",35.94
108,"KOBOKO",87.39
109,"KOBOKO",87.39
110,"KOLE",45.96
111,"KOLE",45.96
112,"KOTIDO",52.34
113,"KOTIDO",52.34
114,"KUMI",84.37
115,"KUMI",84.37
116,"KWANIA",45.1
117,"KWANIA",45.1
118,"KWEEN",72.97
119,"KYANKWANZI",20.49
120,"KYANKWANZI",20.49
121,"KYEGEGWA",32.98
122,"KYEGEGWA",32.98
123,"KYENJOJO",76.11
124,"KYENJOJO",76.11
125,"KYOTERA",77.17
126,"KYOTERA",77.17
127,"LAMWO",1.32
128,"LIRA",46.7
129,"LIRA",46.7
130,"LUUKA",55.71
131,"LUUKA",55.71
132,"LUWERO",63.63
133,"LUWERO",63.63
134,"LWENGO",52.11
135,"LWENGO",52.11
136,"LYANTONDE",56.4
137,"MANAFWA",19.52
138,"MANAFWA",19.52
139,"MARACHA",73.79
140,"MARACHA",73.79
141,"MASAKA",71.93
142,"MASAKA",71.93
143,"MASINDI",72.37
144,"MASINDI",72.37
145,"MAYUGE",54.01
146,"MAYUGE",54.01
147,"MBALE",90.11
148,"MBALE",90.11
149,"MBARARA",66.51
150,"MBARARA",66.51
151,"MITOOMA",48.87
152,"MITOOMA",48.87
153,"MITYANA",65.22
154,"MITYANA",65.22
155,"MOROTO",38.05
156,"MOROTO",38.05
157,"MOYO",78.24
158,"MOYO",78.24
159,"MPIGI",69.53
160,"MPIGI",69.53
161,"MUBENDE",54.08
162,"MUBENDE",54.08
163,"MUKONO",76.53
164,"MUKONO",76.53
165,"NABILATUK",61.67
166,"NABILATUK",61.67
167,"NAKAPIRIPIRIT",55.25
168,"NAKAPIRIPIRIT",55.25
169,"NAKASEKE",55.7
170,"NAKASEKE",55.7
171,"NAMAYINGO",60.56
172,"NAMAYINGO",60.56
173,"NAMISINDWA",62.79
174,"NAMISINDWA",62.79
175,"NAMTUMBA",11.89
176,"NAMUTUMBA",87.24
177,"NAMUTUMBA",87.24
178,"NAPAK",44.42
179,"NAPAK",44.42
180,"NEBBI",82.53
181,"NEBBI",82.53
182,"NGORA",100
183,"NTOROKO",100
184,"NTOROKO",100
185,"NTUNGAMO",34.01
186,"NTUNGAMO",34.01
187,"NWOYA",16.47
188,"OMORO",82.08
189,"OMORO",82.08
190,"OTUKE",59.15
191,"OTUKE",59.15
192,"OYAM",37.79
193,"OYAM",37.79
194,"PADER",31.43
195,"PADER",31.43
196,"PAKWACH",73.18
197,"PAKWACH",73.18
198,"PALISA",100
199,"PALLISA",49.5
200,"PALLISA",49.5
201,"RAKAI",50.6
202,"RAKAI",50.6
203,"RUBANDA",0
204,"RUKIGA",78.95
205,"RUKIGA",78.95
206,"RUKINGIRI",100
207,"RUKUNGIRI",37.84
208,"RUKUNGIRI",37.84
209,"SERERE",62.62
210,"SERERE",62.62
211,"SHEEMA",53.71
212,"SHEEMA",53.71
213,"SIRONKO",38.06
214,"SIRONKO",38.06
215,"SOROTI",79.75
216,"SOROTI",79.75
217,"SSEMBABULE",45.22
218,"SSEMBABULE",45.22
219,"TORORO",59.6
220,"TORORO",59.6
221,"WAKISO",73.56
222,"WAKISO",73.56
223,"YUMBE",42.8
224,"YUMBE",42.8
225,"ZOMBO",93.58
226,"ZOMBO",93.58
